City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
216,bratsk,91,RU,1571088731,74,56.15,101.63,2.0,2.0
217,illora,40,ES,1571088739,63,37.29,-3.88,20.56,1.5
218,torbay,90,CA,1571088748,80,47.66,-52.73,6.67,6.2
219,fort nelson,75,CA,1571088756,80,58.81,-122.69,2.0,1.897
220,walvis bay,67,NA,1571088765,77,-22.95,14.51,17.22,2.1
221,bogdanovich,100,RU,1571088773,83,56.77,62.05,6.29,5.16
222,vestmannaeyjar,100,IS,1571088782,85,63.44,-20.27,8.25,18.443
223,dong hoi,100,VN,1571088790,89,17.48,106.6,23.77,1.705
224,moranbah,39,AU,1571088799,67,-22.0,148.04,21.48,4.42
225,siniscola,8,IT,1571088807,88,40.57,9.69,20.0,1.0
226,barda,44,RU,1571088815,91,56.93,55.59,4.11,5.015
227,kavieng,33,PG,1571088824,70,-2.57,150.8,28.21,1.222
228,stettler,100,CA,1571088832,92,52.32,-112.71,2.22,5.81
229,srandakan,79,ID,1571088841,94,-7.94,110.25,22.05,1.46
230,talnakh,100,RU,1571088849,98,69.49,88.39,-0.15,2.279
231,sobolevo,43,RU,1571088857,91,54.43,31.9,12.69,4.909
232,upington,100,ZA,1571088866,14,-28.46,21.24,24.0,2.6
233,castro,0,CL,1571088875,25,-42.48,-73.76,18.0,4.6
234,parkes,0,AU,1571088883,58,-33.14,148.18,16.45,2.219
235,bethel,1,US,1571088892,60,60.79,-161.76,4.0,5.1
236,fairbanks,1,US,1571088900,50,64.84,-147.72,-0.57,4.6
237,tondi,90,EE,1571088908,87,59.41,24.72,6.67,2.1
238,tigil,100,RU,1571088917,86,57.8,158.67,-1.0,3.823
239,tiguisan,96,PH,1571088925,86,12.84,121.46,25.01,3.644
240,tay ninh,39,VN,1571088934,92,11.3,106.1,23.76,1.838
241,opuwo,100,NA,1571088942,65,-18.06,13.84,22.43,4.328
242,saldanha,0,PT,1571088951,81,41.42,-6.55,8.34,3.191
243,bainbridge,90,US,1571088959,51,30.9,-84.58,31.0,3.1
244,sakaiminato,75,JP,1571088967,59,35.55,133.23,17.0,8.7
245,angoche,0,MZ,1571088977,79,-16.23,39.91,23.5,2.165
246,saint-philippe,90,CA,1571088986,71,45.36,-73.48,12.22,5.1
247,mokokchung,0,IN,1571088997,96,26.32,94.52,18.58,0.968
248,yeppoon,90,AU,1571089006,69,-23.13,150.74,23.0,2.1
249,north bend,1,US,1571089015,67,43.41,-124.22,19.44,4.6
250,mayo,75,CA,1571089024,79,63.59,-135.9,-7.0,3.6
251,kruisfontein,0,ZA,1571089032,71,-34.0,24.73,15.04,7.703
252,bria,93,CF,1571089041,92,6.54,21.99,21.15,0.986
253,bonavista,69,CA,1571089049,82,48.65,-53.11,5.56,1.79
254,svetlaya,0,RU,1571089058,52,46.54,138.33,2.0,4.461
255,askarovo,100,RU,1571089066,87,53.34,58.51,4.66,6.172
